,feature,support,ranking,mean score,std score
239,B_8_13_periods_min,True,1,0.7548385066249752,0.0009813179187036112
240,D_50_13_periods_sum,False,211,0.7549806734560507,0.0021373689406033246
241,D_51_13_periods_logsum,True,1,0.7552763895431819,0.0012118194704013685
242,B_9_3_periods_min,True,1,0.7551439234119864,0.0004287675079664472
243,R_3_13_periods_mean,True,1,0.755425525933801,0.0019678382260365102
244,D_52_13_periods_min,False,6,0.7553246927630908,0.0016859672278525608
245,P_3_6_periods_min,True,1,0.7554302368900415,0.0012700639927251233
246,B_10_6_periods_min,False,106,0.7551717851202635,0.0011803135480471317
247,D_53_6_periods_std,False,201,0.7541065960591457,0.002055426688138037
248,S_5_13_periods_logmedian,False,89,0.7550276680262021,0.0020005044790088297
249,B_11_3_periods_logmean,True,1,0.7549459380057957,0.0027172102747312393
250,S_6_13_periods_std,False,140,0.7550967751479504,0.001942526989461053
251,R_4_13_periods_std,False,32,0.7550676112017546,0.0016404313801073093
252,S_7_13_periods_max,True,1,0.7552068232357291,0.0006159569769777659
253,B_12_13_periods_logsum,False,90,0.7548599156250826,0.0021879750219380456
254,S_8_6_periods_min,True,1,0.7540172201941662,0.0025605682712367623
255,D_56_13_periods_sum,False,210,0.7557957993707988,0.00238854328114321
256,B_13_13_periods_loglast/first,False,97,0.754715815833915,0.0013033277273761326
257,R_5_13_periods_logmean,False,9,0.7548412712834037,0.003345097440330464
258,S_9_13_periods_logmean,False,141,0.754560535805136,0.0006029293562645711
259,B_14_6_periods_min,False,188,0.7560490280550677,0.0012783904336452479
260,D_59_3_periods_mean,False,53,0.7548334158908582,0.0015161425755270532
261,D_60_6_periods_logmin,False,176,0.7551875536845861,0.0015527143108627689
262,D_61_6_periods_mean,False,4,0.755802742612085,0.0015895041048795422
263,B_15_3_periods_std,False,179,0.7547741049410103,0.0015462651445202354
264,S_11_13_periods_min,False,25,0.7552063256759263,0.0020646210808570892
265,D_62_13_periods_mean,True,1,0.7547096185283287,0.000925962806674256
266,D_65_6_periods_logmax,True,1,0.7547063347739555,0.0012488904231941465
267,B_17_6_periods_max,False,203,0.7548270955193008,0.0008665762311045267
268,B_19_3_periods_logmean,False,92,0.7540888183791601,0.0010638539496135382
269,B_20_3_periods_logmean,False,87,0.7548828275586809,0.0017132929916723713
270,S_12_13_periods_min,False,134,0.7552420846381422,0.002903230176415072
271,R_6_13_periods_logmax,True,1,0.7557804349419509,0.0017284067778805105
272,S_13_6_periods_min,False,60,0.7556066464022506,0.001167990884782684
273,B_21_13_periods_logmean,False,3,0.7548450977941152,0.0010860374670969752
274,D_69_13_periods_logmax,False,198,0.7546482519713786,0.0015823900955455315
275,B_22_6_periods_logmean,False,21,0.7543576201168574,0.002926570119384781
276,D_70_13_periods_logmean,False,29,0.7542348156363445,0.0006540562749287253
277,D_71_3_periods_logmin,False,165,0.7529806944673105,0.0029545972275082676
278,D_72_13_periods_logmax,False,70,0.7542598016021632,0.0019144668847130666
279,S_15_13_periods_max,True,1,0.7544380896601236,0.0012416611458646865
280,B_23_3_periods_logmean,False,22,0.7543188048695391,0.0014179533631953078
281,D_73_13_periods_sum,False,255,0.7543605452639802,0.0015258455320326942
282,P_4_13_periods_first,False,11,0.7543570525208302,0.0018866048607658033
283,D_74_3_periods_logmean,False,119,0.7541413173876025,0.0017468605799639946
284,D_76_13_periods_sum,False,234,0.7539501154785363,0.0021911127925413384
285,B_24_6_periods_logmax,False,107,0.7558739427975909,0.0008773897530389677
286,R_7_6_periods_logmax,True,1,0.7540316774508906,0.001088948512517804
287,D_77_13_periods_logmin,False,167,0.7545664188336767,0.0016294104701268625
288,B_25_3_periods_min,False,181,0.7537383458106739,0.001672009224657061
289,B_26_3_periods_logmax,True,1,0.7540731122171423,0.0012293334322845335
290,D_78_13_periods_logmax,False,78,0.7536450387114834,0.0022597305292968903
291,D_79_13_periods_logmax,True,1,0.75522849501903,0.0016275532505787343
292,R_8_13_periods_logmean,False,65,0.7553654940157916,0.0017175345774167407
293,R_9_13_periods_std,False,232,0.753794194399049,0.0015102335964652788
294,S_16_13_periods_logmean,False,38,0.7544331465902453,0.0007664706049374169
295,D_80_13_periods_std,False,166,0.755508429013227,0.00249913390354109
296,R_10_13_periods_logmean,True,1,0.7535515409920821,0.0017614080586957088
297,R_11_13_periods_mean,True,1,0.7549602811512448,0.002170178547784886
298,B_27_13_periods_sum,False,152,0.7551797863028835,0.0007939022043329285
299,D_81_13_periods_logmax,False,175,0.7538431904196814,0.001747596081740029
300,D_82_13_periods_sum,False,216,0.7537835531639849,0.0028254271148053234
301,S_17_13_periods_std,False,173,0.7552986356534162,0.002559286999577502
302,R_12_6_periods_min,False,88,0.7551434092449003,0.00282089296911534
303,R_13_13_periods_logmax,False,143,0.7542801236314571,0.0012328516124351923
304,D_83_13_periods_logmax,False,200,0.7545763425731621,0.001842018031197934
305,R_14_13_periods_logmax,False,85,0.7539313629193887,0.0015819214004789157
306,R_15_13_periods_std,False,75,0.7539790826196386,0.002318608043975861
307,D_84_13_periods_logmax,False,50,0.7551395197037363,0.0014149981578104728
308,R_16_13_periods_std,True,1,0.7545273929178653,0.0022820247283945596
309,B_29_13_periods_loglast/first,False,249,0.7539498148532677,0.0003778564890723186
310,S_18_13_periods_logsum,False,177,0.7548171143781297,0.0022282661904514
311,D_86_13_periods_logsum,False,197,0.7548154157809062,0.0005550350307011192
312,D_87_13_periods_sum,False,273,0.7553748598736232,0.0008878347710456545
313,R_17_13_periods_logmax,False,162,0.7541317176379341,0.001359593493528424
314,R_18_13_periods_sum,False,174,0.7555124455361237,0.0026967238809396075
315,D_88_13_periods_sum,False,262,0.7554766463673768,0.002046207961770854
316,B_31_13_periods_std,False,299,0.7544109863180818,0.002499559814313675
317,S_19_13_periods_logsum,False,186,0.754243144065182,0.0009491794868225035
318,B_32_13_periods_max,False,153,0.7546752894252275,0.0018211295427408864
319,S_20_13_periods_max,False,104,0.7534465400879373,0.0016813605271089598
320,R_20_13_periods_logmax,False,150,0.7539340440917128,0.0019477508753101337
321,R_21_13_periods_max,False,72,0.7545855213890865,0.0017192387869791608
322,B_33_3_periods_sum,False,24,0.7543258392632068,0.0023728210329852844
323,D_89_13_periods_logmax,False,168,0.7547560831285328,0.0025481075143166236
324,R_22_13_periods_max,False,136,0.7543201634449749,0.0014132741564119246
325,R_23_13_periods_logsum,False,187,0.7549542007695823,0.0003140436663433967
326,D_91_13_periods_max,False,206,0.7550194852846943,0.0024116859111192345
327,D_92_13_periods_logsum,False,191,0.754763977631786,0.0010670058726689154
328,D_93_13_periods_logsum,False,180,0.753702586942786,0.001004352495155609
329,D_94_13_periods_logsum,False,194,0.7550919528185607,0.001350337197746151
330,R_24_13_periods_max,False,146,0.7551452118626834,0.0017831910066397438
331,R_25_13_periods_std,False,149,0.7546150287545137,0.0025320073834368766
332,D_96_13_periods_logsum,False,190,0.7551814139306425,0.002688541865534007
333,S_22_3_periods_max,False,30,0.7550050345704913,0.001968136979820737
334,S_23_3_periods_median,False,2,0.7552720974134222,0.0018526271068181148
335,S_24_3_periods_max,False,67,0.7551198632776098,0.0025434136248646986
336,S_25_13_periods_std,True,1,0.7548271701313038,0.001102287217850795
337,S_26_13_periods_logsum,False,20,0.7555330613226381,0.002217313301492435
338,D_102_13_periods_logmax,False,77,0.7543876520146817,0.0014513599001502104
339,D_103_13_periods_logmax,False,184,0.754760418849628,0.002742125709109344
340,D_104_13_periods_logmax,False,151,0.7544239147222808,0.0022932627881574502
341,D_105_13_periods_sum,False,207,0.7545354155433857,0.0014832736505035532
342,D_106_13_periods_logmin,False,217,0.755638770991103,0.0013117202020250936
343,D_107_13_periods_logmax,False,189,0.7557972900410426,0.0010909374209914838
344,B_36_6_periods_mean,False,64,0.7539554363599692,0.001285804109871678
345,R_26_3_periods_std,False,220,0.754112577600589,0.0014306264636890303
346,R_27_13_periods_sum,True,1,0.7538031924811804,0.0016304703031832161
347,D_108_13_periods_sum,False,246,0.7542265092982551,0.0031966411949778018
348,D_109_13_periods_logsum,False,199,0.7553751597330516,0.0011018421270486748
349,D_110_13_periods_sum,False,250,0.7547966116639084,0.0014950382506156083
350,D_111_13_periods_sum,False,241,0.7540223053631157,0.001683491312171153
351,B_39_13_periods_sum,False,256,0.7555038450774711,0.0015872727038300693
352,D_112_1_periods_logfirst,True,1,0.7553012252445674,0.0017891601232210607
353,B_40_3_periods_logmean,False,91,0.754713584074,0.0010512772780758382
354,S_27_13_periods_logmin,False,185,0.7548071662768838,0.0014264487412419436
355,D_113_13_periods_logmax,False,156,0.7540521664717944,0.0011970655742071304
356,D_115_13_periods_sum,False,145,0.7548209681407486,0.0013605262429108465
357,D_118_13_periods_sum,False,19,0.7538811148190718,0.0015849511129806557
358,D_119_13_periods_sum,False,98,0.7546045471139928,0.001185034910839024
359,D_121_13_periods_sum,False,169,0.754400911174999,0.0016483707568663642
360,D_122_13_periods_sum,False,51,0.7540699928717292,0.0014184133366110141
361,D_123_13_periods_logmax,False,172,0.7548237139212668,0.001347412001612604
362,D_124_13_periods_std,False,154,0.7552927673272911,0.0010802758482891764
363,D_125_13_periods_logmax,False,196,0.7550997983951393,0.0011712547647962585
364,D_127_13_periods_logsum,False,183,0.7538897507291424,0.002429476127199794
365,D_128_13_periods_min,True,1,0.754371938696441,0.0019249406921509383
366,D_129_13_periods_sum,True,1,0.7543991391744231,0.002230427995814629
367,B_41_6_periods_logmax,False,129,0.7540769986997427,0.001751619320814723
368,B_42_13_periods_logsum,False,261,0.7543271934577566,0.0018160043038880005
369,D_130_13_periods_logmax,False,132,0.7551061891515141,0.0010190763528411281
370,D_131_13_periods_logmax,False,57,0.7551077570922431,0.0009331064387528063
371,D_132_13_periods_std,False,214,0.7553481988234741,0.0021704789132598163
372,D_133_13_periods_logmax,False,100,0.7552067797268736,0.000788593273581352
373,R_28_13_periods_logsum,False,158,0.7551598911225061,0.0014713588476413313
374,D_134_13_periods_std,False,243,0.7539623532822133,0.001664416455980478
375,D_135_13_periods_logmin,False,247,0.7546733918342708,0.0026554701710183194
376,D_136_13_periods_std,False,239,0.7536624162066133,0.0014044585029562664
377,D_137_13_periods_logmin,False,238,0.7547413077976938,0.001709997977086682
378,D_138_13_periods_std,False,242,0.7545465077292189,0.0014274013146185548
379,D_139_13_periods_logmax,False,193,0.7556378342200807,0.0019473218633851346
380,D_140_13_periods_logmax,False,192,0.7545014268820563,0.001312540968068679
381,D_141_13_periods_logmax,False,202,0.7548519853582951,0.0008133218606146181
382,D_142_13_periods_sum,False,215,0.7546200135347847,0.0019506652871081503
383,D_143_13_periods_logmax,False,182,0.7550988475734751,0.0020214643295452415
384,D_144_13_periods_logfirst,False,171,0.7541688860843234,0.0008360350801626453
385,D_145_13_periods_logmax,False,195,0.7534364236957325,0.001833334573411304
386,B_30_0.0_6_periods_min,False,253,0.7545476873864321,0.0019556053590557916
387,B_30_1.0_6_periods_max,False,292,0.7540977315582783,0.0010614633213862266
388,B_30_2.0_13_periods_max,False,301,0.7557434890717379,0.000244096774699961
389,B_38_2.0_13_periods_mean,False,237,0.753094426509481,0.000877009708909204
390,B_38_3.0_13_periods_std,False,231,0.7538387007567628,0.0031666747083329014
391,B_38_4.0_13_periods_std,False,227,0.7542490903229456,0.0020018481813699612
392,B_38_5.0_13_periods_std,False,229,0.7543250391862955,0.0016074912340567956
393,B_38_6.0_13_periods_max,False,315,0.7543364144715552,0.0014578202018004655
394,B_38_7.0_13_periods_max,False,310,0.7548445130942621,0.0019466998813420732
395,D_114_0.0_6_periods_max,False,260,0.7552164978895752,0.0019768895307717567
396,D_114_1.0_13_periods_first,False,264,0.7542881073224569,0.002763590145698229
397,D_116_0.0_13_periods_min,False,307,0.7534194185184255,0.002235854115666427
398,D_116_1.0_13_periods_max,False,336,0.753920504865417,0.0007208674623799182
399,D_117_-1.0_6_periods_std,False,258,0.7549101548422616,0.0008278307549224148
400,D_117_1.0_13_periods_max,False,302,0.7542056799416166,0.001331351259458871
401,D_117_2.0_13_periods_max,False,281,0.7545002423502827,0.0016384452114951808
402,D_117_3.0_13_periods_std,False,240,0.7545331741905986,0.0012646146172231065
403,D_117_4.0_13_periods_sum,False,244,0.7554071721929575,0.0016374307607562887
404,D_117_5.0_13_periods_max,False,300,0.7551843337202755,0.0020740732513271918
405,D_117_6.0_13_periods_sum,False,270,0.7551989770288057,0.0022437758359674575
406,D_120_0.0_13_periods_min,False,272,0.7553571699410708,0.002369401494999447
407,D_120_1.0_13_periods_max,False,275,0.7545628655925349,0.0009188991025989978
408,D_126_-1.0_13_periods_last-first,False,324,0.7541880827372536,0.0009135965588816084
409,D_126_0.0_13_periods_median,False,285,0.7540790622890583,0.0014463074037391016
410,D_126_1.0_13_periods_first,False,308,0.7555197920748155,0.0019940773042734063
411,D_63_CO_13_periods_first,False,312,0.7551376368470846,0.0014637482510058083
412,D_63_CR_13_periods_sum,False,284,0.7553412286191659,0.0025358663389654455
413,D_63_XL_3_periods_max,False,333,0.7545239874565288,0.0020576991886918574
414,D_63_XM_13_periods_std,False,332,0.7532323486978553,0.0020864651766870686
415,D_63_XZ_13_periods_std,False,329,0.7544635495334685,0.0006952888167712609
416,D_64_-1_13_periods_mean,False,314,0.7543167658742678,0.0024353838463661557
417,D_64_O_13_periods_sum,False,223,0.7556734524385635,0.0024643486806314977
418,D_64_R_13_periods_max,False,286,0.7546673078244887,0.0018526085375112295
419,D_64_U_6_periods_max,False,278,0.7556629125644823,0.001036736186047791
420,D_66_0.0_13_periods_std,False,316,0.7543422174510628,0.0014229627281297029
421,D_66_1.0_13_periods_min,False,303,0.7545484763314234,0.0025437777253892653
422,D_68_0.0_13_periods_mean,False,330,0.7550321524411716,0.0017032312432813251
423,D_68_1.0_13_periods_std,False,265,0.7540956260822371,0.0016612043397741167
424,D_68_2.0_13_periods_std,False,251,0.754620250895405,0.0021277500242008786
425,D_68_3.0_13_periods_max,False,298,0.7546273495583278,0.0017531716546884193
426,D_68_4.0_13_periods_max,False,297,0.7539486593389666,0.0027379835165967825
427,D_68_5.0_13_periods_std,False,245,0.7550928471263423,0.0021302933411692366
428,D_68_6.0_13_periods_first,False,296,0.7545581705034989,0.0005510545067112816
